Series,Team,Player,Role,Batting_Avg,Bowling_Avg,Recent_Form,Venue_Performance,Experience_Years,Match_Wins,Player_of_Match_Count
England_India,England,Harry Brook,Middle_Order_Batter,32.1,0,Good,Good,3,2,0
England_India,England,Zak Crawley,Opener,45.2,0,Excellent,Good,5,3,1
England_India,England,Ben Duckett,Opener,38.7,0,Good,Good,4,2,0
England_India,England,Ollie Pope,Middle_Order_Batter,32.1,0,Good,Average,6,2,0
England_India,England,Joe Root,Middle_Order_Batter,52.3,0,Excellent,Excellent,12,3,2
England_India,England,Jamie Smith,Wicketkeeper_Batter,28.9,0,Good,Good,2,1,0
England_India,England,Ben Stokes,Allrounder,36.2,32.1,Excellent,Good,10,3,1
England_India,England,Jacob Bethell,Batting_Allrounder,25.4,35.2,Good,Average,1,1,0
England_India,England,Brydon Carse,Bowling_Allrounder,18.7,28.9,Good,Good,3,2,0
England_India,England,Jamie Overton,Bowling_Allrounder,22.1,26.8,Good,Good,4,2,0
England_India,England,Chris Woakes,Allrounder,29.8,31.4,Good,Good,8,2,0
England_India,England,Sam Cook,Fast_Bowler,12.5,25.3,Good,Good,2,2,1
England_India,England,Shoaib Bashir,Spinner,15.2,28.7,Good,Average,2,2,0
England_India,England,Josh Tongue,Fast_Bowler,18.9,29.4,Good,Good,3,2,0
Australia_WestIndies,Australia,Alex Carey,Wicketkeeper_Batter,32.8,0,Good,Good,5,2,0
Australia_WestIndies,Australia,Travis Head,Middle_Order_Batter,42.1,0,Excellent,Good,8,2,1
Australia_WestIndies,Australia,Josh Inglis,Wicketkeeper_Batter,28.9,0,Good,Good,3,1,0
Australia_WestIndies,Australia,Usman Khawaja,Opener,48.9,0,Good,Good,12,2,0
Australia_WestIndies,Australia,Sam Konstas,Opener,22.1,0,Good,Average,1,1,0
Australia_WestIndies,Australia,Marnus Labuschagne,Top_Order_Batter,52.3,0,Good,Good,6,2,0
Australia_WestIndies,Australia,Steven Smith,Middle_Order_Batter,58.7,0,Excellent,Excellent,14,2,1
Australia_WestIndies,Australia,Sean Abbott,Bowling_Allrounder,18.7,28.9,Good,Good,4,2,0
Australia_WestIndies,Australia,Cameron Green,Batting_Allrounder,35.6,29.8,Good,Good,4,2,0
Australia_WestIndies,Australia,Beau Webster,Allrounder,24.3,32.1,Good,Average,2,1,0
Australia_WestIndies,Australia,Pat Cummins,Fast_Bowler,16.4,21.6,Excellent,Excellent,10,2,1
Australia_WestIndies,Australia,Scott Boland,Fast_Bowler,8.9,18.2,Excellent,Excellent,3,2,1
Australia_WestIndies,Australia,Josh Hazlewood,Fast_Bowler,12.9,25.7,Good,Good,10,2,0
Australia_WestIndies,Australia,Matthew Kuhnemann,Spinner,14.2,27.8,Good,Good,2,2,0
Australia_WestIndies,Australia,Mitchell Starc,Fast_Bowler,22.1,27.3,Good,Good,12,2,0 